nodeName,altName,"nodeAttr[nodesPresent, ]"
SLC25A47,NA,black
ACSL5,NA,black
SULT1B1,NA,black
PC,NA,black
PAX8,NA,black
ACSL4,NA,black
PAQR9,NA,black
STAMBPL1,NA,black
GPT2,NA,black
ZNF43,NA,black
FURIN,NA,black
TRAF5,NA,black
MAFG,NA,black
ACSL1,NA,black
MAP4K2,NA,black
PZP,NA,black
PPP2R1B,NA,black
HIC2,NA,black
ENO1,NA,black
SLC41A1,NA,black
MFSD2A,NA,black
MTMR11,NA,black
ZNF430,NA,black
CMTM7,NA,black
MASP2,NA,black
CFL2,NA,black
TINAGL1,NA,black
C1orf162,NA,black
KLHL21,NA,black
SERPING1,NA,black
FBP1,NA,black
SLC39A14,NA,black
SLC50A1,NA,black
HSP90AA1,NA,black
TPM4,NA,black
FITM1,NA,black
H6PD,NA,black
COLCA2,NA,black
ALDH4A1,NA,black
ERGIC1,NA,black
CPTP,NA,black
DYRK2,NA,black
SSR3,NA,black
CAPN1,NA,black
HLA-C,NA,black
BICC1,NA,black
RIPK2,NA,black
WRAP73,NA,black
TMCO3,NA,black
SLC8B1,NA,black
TRIM59,NA,black
DGKZ,NA,black
NADK,NA,black
GRB2,NA,black
NPLOC4,NA,black
PROM2,NA,black
OTUD7B,NA,black
CENPO,NA,black
HDAC11,NA,black
RDH13,NA,black
FGD6,NA,black
PCSK6,NA,black
INHBC,NA,black
ARSB,NA,black
P4HB,NA,black
VAV2,NA,black
SLC39A1,NA,black
TSTA3,NA,black
LRP5,NA,black
INPP4A,NA,black
MR1,NA,black
DAPK2,NA,black
RPS7,NA,black
TMEM165,NA,black
SRD5A1,NA,black
GPR19,NA,black
ZNF555,NA,black
GFOD2,NA,black
TMEM267,NA,black
PPARGC1A,NA,black
PHKA2,NA,black
FDX1,NA,black
C2,NA,black
FXN,NA,black
TMCC3,NA,black
CDC20,NA,black
ADCY1,NA,black
PON2,NA,black
LINC00313,NA,black
BOLA3,NA,black
SSH2,NA,black
OSBP,NA,black
SNRPE,NA,black
TM4SF18,NA,black
ZNF557,NA,black
RCBTB1,NA,black
TECPR1,NA,black
PLXNA1,NA,black
SLU7,NA,black
VEGFA,NA,black
SYNGR2,NA,black
NHP2,NA,black
ZCCHC4,NA,black
CSNK1G1,NA,black
CENPBD1,NA,black
NAA50,NA,black
IRAK1,NA,black
C8B,NA,black
NELFB,NA,black
DNAAF5,NA,black
C6orf62,NA,black
SUFU,NA,black
TULP4,NA,black
CHST11,NA,black
BLVRA,NA,black
SLFN12,NA,black
KCTD1,NA,black
ROBO1,NA,black
AGXT2,NA,black
HLA-F,NA,black
ATP6V1C1,NA,black
POLR2K,NA,black
C8orf33,NA,black
DCAF13,NA,black
SCRIB,NA,black
C8orf76,NA,black
ITFG1,NA,black
GPAA1,NA,black
C8orf59,NA,black
WDYHV1,NA,black
NDUFB9,NA,black
SDHB,NA,black
ETFDH,NA,black
ASGR2,NA,black
MAN1A1,NA,black
METRN,NA,black
MAN1C1,NA,black
FLVCR2,NA,black
LPCAT2,NA,black
SLC1A1,NA,black
APC,NA,black
BAP1,NA,black
HIPK3,NA,black
AP1G1,NA,black
PRKDC,NA,black
BRD7,NA,black
IL6ST,NA,black
PDGFRA,NA,black
TRPC6,NA,black
LTK,NA,black
NEDD1,NA,black
PDCD6IP,NA,black
ABCC10,NA,black
NCOR2,NA,black
BASP1,NA,black
KIAA0100,NA,black
ATP13A1,NA,black
CASKIN2,NA,black
ZNF420,NA,black
DHX57,NA,black
CHST3,NA,black
C9,NA,black
CPT1A,NA,black
XPO5,NA,black
PLA2G4C,NA,black
ATM,NA,black
BAX,NA,black
SPTAN1,NA,black
SIGLEC1,NA,black
STAB1,NA,black
NDST3,NA,black
PTPRB,NA,black
BPTF,NA,black
HGS,NA,black
CDKL5,NA,black
TSPOAP1,NA,black
CCM2,NA,black
LSM2,NA,black
DMXL2,NA,black
LILRB5,NA,black
MCTP1,NA,black
SLC39A10,NA,black
NF2,NA,black
